original_NHGISCODE,original_GJOIN1970,original_GJOIN1980,original_GJOIN1990,original_GJOIN2000,original_GJOIN2010,original_GJOIN2012,original_GJOIN2019,original_GJOIN2020,original_STATE,original_CITY,original_STATEFP,original_STATENH,original_PLACE,original_PLACEA,original_NAME1980,original_NAME1990,original_NAME2000,original_NAME2010,original_NAME2012,original_NAME2019,original_NAME2020,original_AV0AA1970,original_AV0AA1980,original_AV0AA1990,original_AV0AA2000,original_AV0AA2010,original_AV0AA125,original_AV0AA125M,original_AV0AA195,original_AV0AA195M,original_AV0AA2020,lat,lon,formatted,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
G06044000,G0601630,G0601630,G06044000,G06044000,G06044000,G06044000,G06044000,G06044000,California,Los Angeles,6,60,Los Angeles city,44000,LOS ANGELES CITY,Los Angeles city,Los Angeles city,Los Angeles city,"Los Angeles city, California","Los Angeles city, California",Los Angeles city,2816061,2966850,3485398,3694820,3792621,3804503,122,3966936,82,3898747,34.0536909,-118.242766,"Los Angeles, CA, United States of America",Los Angeles,Los Angeles County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
G48019000,G4801085,G4801085,G48019000,G48019000,G48019000,G48019000,G48019000,G48019000,Texas,Dallas,48,480,Dallas city,19000,DALLAS CITY,Dallas city,Dallas city,Dallas city,"Dallas city, Texas","Dallas city, Texas",Dallas city,844401,904078,1006877,1188580,1197816,1207202,121,1330612,96,1304379,32.7762719,-96.7968559,"Dallas, TX, United States of America",Dallas,Dallas County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
G48035000,G4801975,G4801975,G48035000,G48035000,G48035000,G48035000,G48035000,G48035000,Texas,Houston,48,480,Houston city,35000,HOUSTON CITY,Houston city,Houston city,Houston city,"Houston city, Texas","Houston city, Texas",Houston city,1232802,1595138,1630553,1953631,2099451,2107449,229,2310432,181,2304580,29.7589382,-95.3676974,"Houston, TX, United States of America",Houston,Harris County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
G48065000,G4803745,G4803745,G48065000,G48065000,G48065000,G48065000,G48065000,G48065000,Texas,San Antonio,48,480,San Antonio city,65000,SAN ANTONIO CITY,San Antonio city,San Antonio city,San Antonio city,"San Antonio city, Texas","San Antonio city, Texas",San Antonio city,654153,785880,935933,1144646,1327407,1335287,223,1508083,223,1434625,29.4246002,-98.4951405,"San Antonio, TX, United States of America",San Antonio,Bexar County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
G12045000,G1201370,G1201370,G12045000,G12045000,G12045000,G12045000,G12045000,G12045000,Florida,Miami,12,120,Miami city,45000,MIAMI CITY,Miami city,Miami city,Miami city,"Miami city, Florida","Miami city, Florida",Miami city,334859,346865,358548,362470,399457,401927,218,454279,101,442241,25.7741728,-80.19362,"Miami, FL, United States of America",Miami,Miami-Dade County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
G12053000,G1201600,G1201600,G12053000,G12053000,G12053000,G12053000,G12053000,G12053000,Florida,Orlando,12,120,Orlando city,53000,ORLANDO CITY,Orlando city,Orlando city,Orlando city,"Orlando city, Florida","Orlando city, Florida",Orlando city,99006,128291,164693,185951,238300,240185,172,280832,201,307573,28.5421109,-81.3790304,"Orlando, FL, United States of America",Orlando,Orange County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
G12071000,G1202075,G1202075,G12071000,G12071000,G12071000,G12071000,G12071000,G12071000,Florida,Tampa,12,120,Tampa city,71000,TAMPA CITY,Tampa city,Tampa city,Tampa city,"Tampa city, Florida","Tampa city, Florida",Tampa city,277767,271523,280015,303447,335709,339391,127,387916,138,384959,27.9477595,-82.458444,"Tampa, FL, United States of America",Tampa,Hillsborough County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
G22055000,G2200956,G2200956,G22055000,G22055000,G22055000,G22055000,G22055000,G22055000,Louisiana,New Orleans,22,220,New Orleans city,55000,NEW ORLEANS CITY,New Orleans city,New Orleans city,New Orleans city,"New Orleans city, Louisiana","New Orleans city, Louisiana",New Orleans city,593471,557515,496938,484674,343829,341407,0,390845,0,383997,29.9759983,-90.0782127,"New Orleans, LA, United States of America",New Orleans,Orleans Parish,Louisiana,LA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
G32040000,G3200065,G3200065,G32040000,G32040000,G32040000,G32040000,G32040000,G32040000,Nevada,Las Vegas,32,320,Las Vegas city,40000,LAS VEGAS CITY,Las Vegas city,Las Vegas city,Las Vegas city,"Las Vegas city, Nevada","Las Vegas city, Nevada",Las Vegas city,125787,164674,258295,478434,583756,587699,155,634773,116,641903,36.1672559,-115.148516,"Las Vegas, NV, United States of America",Las Vegas,Clark County,Nevada,NV,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
G45013330,G4500245,G4500245,G45013330,G45013330,G45013330,G45013330,G45013330,G45013330,South Carolina,Charleston,45,450,Charleston city,13330,CHARLESTON CITY,Charleston city,Charleston city,Charleston city,"Charleston city, South Carolina","Charleston city, South Carolina",Charleston city,66945,69510,80414,96650,120083,120903,62,135257,106,150227,32.7876012,-79.9402728,"Charleston, SC, United States of America",Charleston,Charleston County,South Carolina,SC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
